MSFT (Microsoft Corporation),110.19,0
Nov 30 2018 @ 06:48 ET,Bid,110.29,Ask,109.87,Size,2x1,Vol,28123195
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
12/07/2018,MSFT181207C00079500,0,0,28.1,28.6,0,0.05,0,0,0,79.500,MSFT181207P00079500,0.01,0,0,0.08,0,0.858,-0.0082,0.0016,475
12/07/2018,MSFT181207C00080000,30.9,0,30,30.5,0,2.0667,0.8367,0.0063,0,80.000,MSFT181207P00080000,0.01,0,0,0.09,0,0.8493,-0.009,0.0017,458
12/07/2018,MSFT181207C00080500,0,0,27.25,27.8,0,0.05,0,0,0,80.500,MSFT181207P00080500,0.01,0,0,0.13,0,0.8804,-0.0125,0.0022,5
12/07/2018,MSFT181207C00081000,0,0,26.7,27.1,0,0.05,0,0,0,81.000,MSFT181207P00081000,0.06,0,0,0.24,0,0.751,-0.0053,0.0012,8
12/07/2018,MSFT181207C00081500,0,0,26.25,27.1,0,0.05,0,0,0,81.500,MSFT181207P00081500,0,0,0,0.74,0,1.1445,-0.045,0.005,0
12/07/2018,MSFT181207C00082000,0,0,25.65,25.7,0,0.05,0,0,0,82.000,MSFT181207P00082000,0,0,0,1.5,0,0.9176,-0.0214,0.0034,1
12/07/2018,MSFT181207C00082500,0,0,25.1,25.4,0,0.05,0,0,0,82.500,MSFT181207P00082500,0,0,0,0.75,0,0.9578,-0.0284,0.0041,0
12/07/2018,MSFT181207C00083000,0,0,24.95,25.25,0,0.05,0,0,0,83.000,MSFT181207P00083000,0,0,0,1.5,0,0.8822,-0.0223,0.0037,4
12/07/2018,MSFT181207C00083500,0,0,24.25,25.05,0,0.05,0,0,0,83.500,MSFT181207P00083500,0.03,0,0,0.11,0,0.7607,-0.0123,0.0025,63
12/07/2018,MSFT181207C00084000,0,0,24.2,24.6,0,0.05,0,0,0,84.000,MSFT181207P00084000,0,0,0,2.12,0,1.1724,-0.0685,0.0068,0
12/07/2018,MSFT181207C00084500,0,0,23.75,23.15,0,0.05,0,0,0,84.500,MSFT181207P00084500,0,0,0,2.1,0,1.0917,-0.061,0.0067,0
12/07/2018,MSFT181207C00085000,0,0,22.55,23.65,0,0.05,0,0,0,85.000,MSFT181207P00085000,0.02,0,0,0.11,0,0.7138,-0.0132,0.0029,29
12/07/2018,MSFT181207C00085500,0,0,22.05,22.15,0,0.05,0,0,0,85.500,MSFT181207P00085500,0.01,0,0,0.23,6,0.7811,-0.0233,0.0043,6
12/07/2018,MSFT181207C00086000,0,0,21.6,21.7,0,0.05,0,0,0,86.000,MSFT181207P00086000,0.14,0,0,0.09,0,0.6629,-0.0118,0.0028,8
12/07/2018,MSFT181207C00086500,0,0,21.1,21.55,0,0.05,0,0,0,86.500,MSFT181207P00086500,0,0,0,2.12,0,0.6551,-0.0127,0.0031,0
12/07/2018,MSFT181207C00087000,0,0,20.6,20.7,0,0.05,0,0,0,87.000,MSFT181207P00087000,0.07,0,0,0.6,0,0.6412,-0.0132,0.0032,31
12/07/2018,MSFT181207C00087500,0,0,20.65,20.8,0,0.05,0,0,0,87.500,MSFT181207P00087500,0,0,0,0.02,0,0.5217,-0.0043,0.0015,7
12/07/2018,MSFT181207C00088000,0,0,20.3,23.15,1,1.5501,0.8046,0.0097,1,88.000,MSFT181207P00088000,0.02,0,0.01,0.13,0,0.5147,-0.0049,0.0017,250
12/07/2018,MSFT181207C00088500,21.82,0.695,21.55,19.95,1,0.05,0,0,1,88.500,MSFT181207P00088500,0.01,0,0,0.13,1,0.4868,-0.004,0.0015,12
12/07/2018,MSFT181207C00089000,21.33,0.58,21.05,19.7,1,0.05,0,0,1,89.000,MSFT181207P00089000,0,0,0.01,0.02,0,0.492,-0.0055,0.0019,25
12/07/2018,MSFT181207C00089500,0,0,18.65,19.2,0,0.05,0,0,0,89.500,MSFT181207P00089500,0.05,0,0.01,0.13,0,0.4758,-0.0054,0.002,28
12/07/2018,MSFT181207C00090000,20.32,-0.605,18.7,21.8,25,1.5043,0.7853,0.0107,27,90.000,MSFT181207P00090000,0.03,0.005,0,0.1,4,0.438,-0.0037,0.0015,105
12/07/2018,MSFT181207C00090500,0,0,17.6,17.2,0,0.05,0,0,0,90.500,MSFT181207P00090500,0,0,0.03,0.07,0,0.5337,-0.0158,0.0045,0
12/07/2018,MSFT181207C00091000,0,0,17.2,17.4,0,0.05,0,0,0,91.000,MSFT181207P00091000,0.02,-0.005,0,0.03,2,0.442,-0.0065,0.0025,11
12/07/2018,MSFT181207C00091500,0,0,16.05,16.15,0,0.05,0,0,0,91.500,MSFT181207P00091500,0.09,0,0,0.19,0,0.4252,-0.0062,0.0025,28
12/07/2018,MSFT181207C00092000,0,0,15.95,15.75,0,0.05,0,0,0,92.000,MSFT181207P00092000,0.2,0.18,0.01,0.04,4,0.4294,-0.0084,0.0032,336
12/07/2018,MSFT181207C00092500,0,0,15.55,15.25,0,0.05,0,0,0,92.500,MSFT181207P00092500,0.05,0,0,0.06,0,0.4162,-0.0089,0.0035,262
12/07/2018,MSFT181207C00093000,11.65,0,15.55,17.8,0,1.3157,0.7651,0.013,5,93.000,MSFT181207P00093000,0.05,0.02,0,0.15,1,0.4916,-0.0254,0.0073,71
12/07/2018,MSFT181207C00093500,16,-1.575,16.6,16.9,7,1.3279,0.7559,0.0132,7,93.500,MSFT181207P00093500,0.05,0,0.01,1.07,0,0.399,-0.0108,0.0044,50
12/07/2018,MSFT181207C00094000,10.7,0,14.5,17.1,0,1.0109,0.7969,0.0152,26,94.000,MSFT181207P00094000,0.02,-0.01,0,0.24,3,0.375,-0.0096,0.0042,49
12/07/2018,MSFT181207C00094500,10.05,0,14,17.1,0,1.2566,0.7497,0.0142,3,94.500,MSFT181207P00094500,0.05,0.015,0.02,0.1,36,0.4239,-0.0229,0.0078,68
12/07/2018,MSFT181207C00095000,11.55,0,13.6,15.8,0,1.2449,0.742,0.0146,18,95.000,MSFT181207P00095000,0.04,-0.005,0.02,0.49,194,0.3854,-0.018,0.007,652
12/07/2018,MSFT181207C00095500,14.05,-1.475,14.65,14.9,9,1.2169,0.7371,0.0151,37,95.500,MSFT181207P00095500,0.06,0.015,0.03,0.06,11,0.3664,-0.018,0.0074,615
12/07/2018,MSFT181207C00096000,11.25,0,12.45,15.9,0,1.1812,0.7329,0.0157,20,96.000,MSFT181207P00096000,0.05,0,0.03,0.07,19,0.3582,-0.0204,0.0084,164
12/07/2018,MSFT181207C00096500,0,0,11.85,14.25,0,1.0314,0.7469,0.0174,0,96.500,MSFT181207P00096500,0.07,0.015,0.04,0.31,30,0.3507,-0.0229,0.0094,88
12/07/2018,MSFT181207C00097000,12.55,-1.525,13.2,13.45,15,1.1389,0.72,0.0168,18,97.000,MSFT181207P00097000,0.06,-0.005,0.05,0.09,15,0.3341,-0.0239,0.0103,274
12/07/2018,MSFT181207C00097500,11,0,12.65,12.95,0,1.1176,0.7132,0.0173,29,97.500,MSFT181207P00097500,0.08,0.01,0.05,0.09,24,0.3332,-0.03,0.0124,239
12/07/2018,MSFT181207C00098000,9.2,0,10.7,12.8,0,0.05,1,0.0207,274,98.000,MSFT181207P00098000,0.08,-0.005,0.07,0.11,11,0.3179,-0.0315,0.0136,144
12/07/2018,MSFT181207C00098500,0,0,9.9,13,0,0.05,1,0.0211,0,98.500,MSFT181207P00098500,0.1,0.01,0.07,0.12,13,0.3102,-0.0364,0.0157,54
12/07/2018,MSFT181207C00099000,11.96,-0.14,11.2,11.5,7,1.0316,0.6937,0.0195,48,99.000,MSFT181207P00099000,0.1,0,0.08,0.13,3,0.3014,-0.0417,0.018,158
12/07/2018,MSFT181207C00099500,11,0,10.7,11,0,1.0151,0.6849,0.0201,72,99.500,MSFT181207P00099500,0.15,0.04,0.09,0.13,15,0.2915,-0.0472,0.0206,68
12/07/2018,MSFT181207C00100000,10.75,-0.4,10.25,10.5,15,0.9857,0.6774,0.0209,421,100.000,MSFT181207P00100000,0.13,0.01,0.11,0.15,335,0.2835,-0.0549,0.0238,1353
12/07/2018,MSFT181207C00101000,9.85,-0.325,9.25,9.6,11,0.9323,0.6603,0.0227,213,101.000,MSFT181207P00101000,0.12,-0.03,0.14,0.19,100,0.2634,-0.0717,0.0315,854
12/07/2018,MSFT181207C00102000,8.75,-0.475,8.35,8.6,17,0.8831,0.6405,0.0246,439,102.000,MSFT181207P00102000,0.21,0.02,0.18,0.23,373,0.2389,-0.0917,0.0418,1147
12/07/2018,MSFT181207C00103000,8.01,-0.265,7.4,7.65,10,0.8262,0.6191,0.0269,302,103.000,MSFT181207P00103000,0.21,-0.035,0.23,0.29,126,0.215,-0.1213,0.0568,720
12/07/2018,MSFT181207C00104000,6.89,-0.46,6.45,6.7,241,0.778,0.5938,0.0292,4930,104.000,MSFT181207P00104000,0.3,-0.005,0.31,0.36,1662,0.1909,-0.1658,0.0789,936
12/07/2018,MSFT181207C00105000,6.25,-0.2,5.6,5.8,249,0.7266,0.5652,0.0318,1046,105.000,MSFT181207P00105000,0.37,-0.03,0.41,0.46,455,0.1628,-0.2307,0.1127,1531
12/07/2018,MSFT181207C00106000,5,-0.55,4.7,4.9,223,0.6812,0.5321,0.0344,1684,106.000,MSFT181207P00106000,0.56,0.035,0.54,0.6,471,0.1286,-0.3341,0.1697,973
12/07/2018,MSFT181207C00107000,4.4,-0.3,3.95,4.1,154,0.6356,0.4945,0.0372,1237,107.000,MSFT181207P00107000,0.77,0.085,0.72,0.77,1525,0.082,-0.5439,0.2847,2027
